MJD, Mag, MagErr
58132.319000,-0.152553,0.049540
58133.315000,-0.196951,0.048490
58134.315000,-0.295649,0.050760
58135.311000,-0.118289,0.050570
58136.307000,-0.079560,0.049360
58137.306000,-0.162497,0.047870
58138.302000,0.005992,0.049040
58139.298000,-0.158615,0.048940
58140.298000,-0.203289,0.047910
58143.275000,-0.143491,0.049080
58144.255000,-0.129083,0.049010
58147.581000,-0.093091,0.047430
58148.562000,-0.119848,0.050970
58157.643000,-0.181235,0.056040
58161.568000,-0.231385,0.049150
58164.223000,-0.189661,0.051080
58171.260000,-0.248125,0.053960
58187.437000,-0.116810,0.048560
58203.087000,-0.159948,0.051750
58204.358000,-0.280783,0.052840
58206.500000,-0.155683,0.045730
58233.286000,-0.225817,0.043980
58240.219000,-0.095634,0.049430
58241.223000,-0.159920,0.049750
58243.273000,-0.148743,0.049820
58244.042000,-0.210937,0.050360
58274.250000,-0.135940,0.045380
58286.281000,-0.156805,0.047100
58300.115000,-0.147004,0.049180
58308.094000,-0.179485,0.048140
58309.079000,-0.122200,0.050430
58310.076000,-0.308197,0.048730
58311.072000,-0.173314,0.047430
58312.069000,-0.115086,0.050180
58313.068000,-0.182279,0.046020
58314.071000,-0.139046,0.046730
58316.058000,-0.203844,0.047870
58323.029000,-0.161688,0.049430
58324.032000,-0.203950,0.044250
58328.018000,-0.108498,0.046020
58328.995000,-0.137154,0.044410
58332.008000,-0.078484,0.046970
58332.984000,-0.150062,0.048380
58333.992000,-0.152385,0.049110
58335.993000,-0.132255,0.045860
58337.986000,-0.064928,0.045730
58340.979000,-0.281319,0.047470
58341.975000,-0.257560,0.045860
58446.653000,-0.082979,0.044070
58448.642000,-0.022746,0.040820
