MJD, Mag, MagErr
57495.388000,0.002973,0.053141
57501.449000,0.023973,0.053935
57502.260000,0.032973,0.054280
57506.330000,0.092973,0.056638
57511.415000,0.047973,0.054855
57512.392000,0.045973,0.054774
57515.403000,0.086973,0.056396
57537.339000,0.120973,0.057787
57542.294000,0.073973,0.055878
57545.316000,0.209973,0.061605
57546.325000,0.111973,0.057419
57547.303000,0.125973,0.057994
57549.300000,0.198973,0.061122
57557.075000,-0.009027,0.056235
57560.114000,0.109973,0.061249
57560.984000,0.043973,0.058408
57567.116000,-0.003027,0.056476
57568.100000,0.051973,0.058742
57573.089000,0.024973,0.057615
57583.972000,0.093973,0.060547
57590.032000,0.011973,0.057086
57590.962000,0.134973,0.062376
57601.988000,-0.008027,0.056281
57604.994000,0.029973,0.057822
57611.971000,0.031973,0.057914
57735.634000,0.151973,0.059087
57747.659000,0.186973,0.060593
57749.317000,0.172973,0.064113
57751.309000,0.089973,0.060375
57753.306000,0.108973,0.061214
57755.334000,0.180973,0.064492
57756.295000,0.138973,0.062548
57759.554000,0.163973,0.059593
57762.545000,0.167973,0.059765
57765.557000,0.214973,0.061835
57767.566000,0.130973,0.058201
57774.677000,0.159973,0.059432
57793.461000,0.312973,0.066389
57802.616000,0.233973,0.062686
57805.283000,0.077973,0.059857
57807.181000,0.175973,0.064251
57816.469000,0.240973,0.063008
57817.446000,0.215973,0.061881
57818.398000,0.165973,0.059685
57819.395000,0.161973,0.059512
57829.533000,0.197973,0.061076
57831.527000,0.235973,0.062779
57834.463000,0.187973,0.060639
57837.475000,0.187973,0.060639
57840.494000,0.197973,0.061076
57844.314000,0.154973,0.063284
57846.296000,0.095973,0.060639
57848.065000,0.081973,0.060030
57849.325000,0.072973,0.059639
57851.347000,0.210973,0.061651
57856.418000,0.135973,0.058408
57858.128000,0.057973,0.058995
57862.149000,0.060973,0.059133
57863.261000,0.155973,0.063330
57865.274000,0.162973,0.063653
57879.224000,0.158973,0.063468
57884.389000,0.250973,0.063468
57885.269000,0.269973,0.064342
57889.189000,0.027973,0.057741
57890.013000,0.116973,0.061559
57893.356000,0.149973,0.058995
57898.338000,0.135973,0.058408
57904.139000,0.077973,0.059857
57906.161000,0.190973,0.064963
57913.304000,0.091973,0.056603
57914.300000,-0.001027,0.052992
57916.141000,0.016973,0.057293
57939.093000,-0.106027,0.052509
57943.082000,-0.053027,0.054510
57944.013000,0.039973,0.058247
57946.006000,0.020973,0.057454
57952.053000,-0.005027,0.056396
57953.042000,-0.042027,0.054935
57953.992000,0.069973,0.059512
57958.035000,-0.007027,0.056315
57966.010000,0.068973,0.059466
57969.000000,-0.031027,0.055361
57971.989000,-0.106027,0.052509
57978.968000,0.086973,0.060248
58091.639000,0.080973,0.056154
58110.631000,0.145973,0.058834
58113.582000,0.057973,0.055246
58130.293000,0.078973,0.059903
58132.319000,0.008973,0.056971
58133.315000,-0.021027,0.055763
58134.315000,0.042973,0.058374
58135.311000,0.037973,0.058155
58136.307000,0.003973,0.056764
58137.306000,-0.039027,0.055051
58138.302000,-0.005027,0.056396
58139.298000,-0.008027,0.056281
58140.298000,-0.038027,0.055096
58143.275000,-0.004027,0.056442
58144.255000,-0.006027,0.056361
58147.581000,0.039973,0.054544
58148.562000,0.140973,0.058615
58157.643000,0.271973,0.064446
58161.568000,0.089973,0.056522
58164.223000,0.051973,0.058742
58171.260000,0.127973,0.062054
58187.437000,0.072973,0.055844
58203.087000,0.069973,0.059512
58204.358000,0.098973,0.060766
58206.500000,-0.012027,0.052589
58233.286000,-0.160027,0.050577
58240.219000,0.005973,0.056844
58241.223000,0.014973,0.057212
58243.273000,0.016973,0.057293
58244.042000,0.031973,0.057914
58274.250000,-0.023027,0.052187
58286.281000,0.029973,0.054165
58300.115000,-0.001027,0.056557
58308.094000,-0.031027,0.055361
58309.079000,0.033973,0.057994
58310.076000,-0.014027,0.056039
58311.072000,-0.052027,0.054544
58312.069000,0.026973,0.057707
58313.068000,-0.095027,0.052923
58314.071000,-0.073027,0.053739
58316.058000,-0.039027,0.055051
58323.029000,0.005973,0.056844
58324.032000,-0.151027,0.050887
58328.018000,-0.095027,0.052923
58328.995000,-0.146027,0.051071
58332.008000,-0.066027,0.054015
58332.984000,-0.024027,0.055637
58333.992000,-0.003027,0.056476
58335.993000,-0.100027,0.052739
58337.986000,-0.104027,0.052589
58340.979000,-0.051027,0.054590
58341.975000,-0.100027,0.052739
58446.653000,-0.065027,0.050680
58448.642000,-0.177027,0.046943
